layer	projection	null	actual_red	null_red	delta_pp
18	Q	tile_hist	0.4620	0.4630	-0.10
18	Q	cross_out	0.4620	0.4628	-0.09
18	K	uniform	0.4547	0.3981	5.66
18	K	sampled_proj_hist	0.4547	0.4647	-1.01
18	K	tile_hist	0.4547	0.4602	-0.56
18	K	cross_out	0.4547	0.4559	-0.12
18	V	uniform	0.4761	0.3972	7.89
18	V	sampled_proj_hist	0.4761	0.4713	0.48
18	V	tile_hist	0.4761	0.4762	-0.01
18	V	cross_out	0.4761	0.4743	0.18
18	O	uniform	0.4539	0.3987	5.52
18	O	sampled_proj_hist	0.4539	0.4578	-0.39
18	O	tile_hist	0.4539	0.4616	-0.78
18	O	cross_out	0.4539	0.4584	-0.45
18	Gate	uniform	0.4591	0.3985	6.06
18	Gate	sampled_proj_hist	0.4591	0.4595	-0.04
18	Gate	tile_hist	0.4591	0.4646	-0.55
18	Gate	cross_out	0.4591	0.4613	-0.22
18	Down	uniform	0.4564	0.3976	5.88
18	Down	sampled_proj_hist	0.4564	0.4591	-0.27
18	Down	tile_hist	0.4564	0.4601	-0.37
18	Down	cross_out	0.4564	0.4567	-0.03
18	Up	uniform	0.4611	0.3980	6.31
18	Up	sampled_proj_hist	0.4611	0.4610	0.01
18	Up	tile_hist	0.4611	0.4641	-0.29
18	Up	cross_out	0.4611	0.4625	-0.14
19	Q	uniform	0.4541	0.3964	5.77
19	Q	sampled_proj_hist	0.4541	0.4615	-0.74
19	Q	tile_hist	0.4541	0.4591	-0.50
19	Q	cross_out	0.4541	0.4562	-0.21
19	K	uniform	0.4659	0.3977	6.82
19	K	sampled_proj_hist	0.4659	0.4645	0.14
19	K	tile_hist	0.4659	0.4644	0.15
19	K	cross_out	0.4659	0.4648	0.11
19	V	uniform	0.4813	0.3973	8.40
19	V	sampled_proj_hist	0.4813	0.4681	1.32
19	V	tile_hist	0.4813	0.4803	0.10
